episode:1; total step:250; total_reword:-21.127 loss:0.00806; actual_eps:0.99; ave_Q:0.023159649223089218
episode:2; total step:250; total_reword:-32.594 loss:0.00618; actual_eps:0.99; ave_Q:-0.25499361753463745
episode:3; total step:250; total_reword:-29.081 loss:0.00442; actual_eps:0.99; ave_Q:-1.414470911026001
episode:4; total step:250; total_reword:-23.725 loss:0.00410; actual_eps:0.99; ave_Q:-2.1385579109191895
episode:5; total step:250; total_reword:-20.448 loss:0.00410; actual_eps:0.99; ave_Q:-2.144108533859253
episode:6; total step:250; total_reword:-29.806 loss:0.00420; actual_eps:0.99; ave_Q:-3.775991201400757
episode:7; total step:250; total_reword:-27.805 loss:0.00478; actual_eps:0.99; ave_Q:-2.5566701889038086
episode:8; total step:250; total_reword:-27.701 loss:0.00519; actual_eps:0.99; ave_Q:-5.044754505157471
episode:9; total step:250; total_reword:-26.541 loss:0.00505; actual_eps:0.99; ave_Q:-5.498870372772217
episode:10; total step:250; total_reword:-19.269 loss:0.00561; actual_eps:0.99; ave_Q:-3.05033278465271
episode:11; total step:250; total_reword:-21.821 loss:0.00640; actual_eps:0.99; ave_Q:-3.2025794982910156
episode:12; total step:139; total_reword:-20.985 loss:0.00650; actual_eps:0.99; ave_Q:-8.97458267211914
episode:13; total step:250; total_reword:-32.368 loss:0.00824; actual_eps:0.99; ave_Q:-5.497934341430664
episode:14; total step:250; total_reword:-36.271 loss:0.00796; actual_eps:0.99; ave_Q:-2.407776355743408
episode:15; total step:250; total_reword:-15.069 loss:0.00778; actual_eps:0.99; ave_Q:-2.6944401264190674
episode:16; total step:250; total_reword:-39.435 loss:0.00891; actual_eps:0.99; ave_Q:-6.006036281585693
episode:17; total step:250; total_reword:-53.169 loss:0.00864; actual_eps:0.98; ave_Q:-5.832458019256592
episode:18; total step:250; total_reword:-43.681 loss:0.00795; actual_eps:0.98; ave_Q:-3.660813570022583
episode:19; total step:250; total_reword:-17.618 loss:0.00920; actual_eps:0.98; ave_Q:-4.001646041870117
episode:20; total step:250; total_reword:-18.918 loss:0.00771; actual_eps:0.98; ave_Q:-3.944439649581909
episode:21; total step:250; total_reword:-13.949 loss:0.00893; actual_eps:0.98; ave_Q:-5.380220413208008
episode:22; total step:250; total_reword:-48.261 loss:0.00862; actual_eps:0.98; ave_Q:-5.97036600112915
episode:23; total step:250; total_reword:-32.701 loss:0.00734; actual_eps:0.98; ave_Q:-6.207913875579834
