episode:1; total step:85; total_reword:-15.191 loss:0.00524; actual_eps:0.99; ave_Q:2.009796619415283
episode:2; total step:88; total_reword:-13.678 loss:0.04163; actual_eps:0.99; ave_Q:3.1995813846588135
episode:3; total step:83; total_reword:-11.677 loss:0.04924; actual_eps:0.99; ave_Q:1.5817593336105347
episode:4; total step:88; total_reword:-15.441 loss:0.04078; actual_eps:0.99; ave_Q:1.3893485069274902
episode:5; total step:97; total_reword:-13.546 loss:0.04812; actual_eps:0.99; ave_Q:1.8627790212631226
episode:6; total step:250; total_reword:-24.907 loss:0.04485; actual_eps:0.99; ave_Q:1.4164788722991943
episode:7; total step:87; total_reword:-15.040 loss:0.03606; actual_eps:0.99; ave_Q:-0.2820594310760498
episode:8; total step:89; total_reword:-9.174 loss:0.03654; actual_eps:0.99; ave_Q:-0.33238399028778076
episode:9; total step:84; total_reword:-14.521 loss:0.03758; actual_eps:0.99; ave_Q:-1.1325137615203857
episode:10; total step:250; total_reword:-32.117 loss:0.03314; actual_eps:0.99; ave_Q:-0.412169873714447
episode:11; total step:250; total_reword:-85.958 loss:0.02812; actual_eps:0.99; ave_Q:-1.3548604249954224
episode:12; total step:250; total_reword:-44.715 loss:0.02496; actual_eps:0.99; ave_Q:-3.6465611457824707
episode:13; total step:250; total_reword:-77.514 loss:0.02541; actual_eps:0.99; ave_Q:-2.278676748275757
episode:14; total step:90; total_reword:-16.675 loss:0.02298; actual_eps:0.99; ave_Q:-3.441354990005493
episode:15; total step:250; total_reword:-53.602 loss:0.02061; actual_eps:0.99; ave_Q:-5.9114603996276855
episode:16; total step:86; total_reword:-13.587 loss:0.02110; actual_eps:0.99; ave_Q:-4.235843181610107
episode:17; total step:86; total_reword:-15.450 loss:0.02924; actual_eps:0.99; ave_Q:-4.018336772918701
episode:18; total step:82; total_reword:-12.833 loss:0.02309; actual_eps:0.99; ave_Q:-4.983829975128174
episode:19; total step:250; total_reword:-53.403 loss:0.02381; actual_eps:0.98; ave_Q:-7.943845272064209
episode:20; total step:250; total_reword:-64.249 loss:0.02340; actual_eps:0.98; ave_Q:-8.538116455078125
episode:21; total step:88; total_reword:-10.254 loss:0.02550; actual_eps:0.98; ave_Q:-3.9328298568725586
episode:22; total step:250; total_reword:-47.231 loss:0.02287; actual_eps:0.98; ave_Q:-7.839367866516113
episode:23; total step:86; total_reword:-15.415 loss:0.02338; actual_eps:0.98; ave_Q:-6.372168064117432
episode:24; total step:245; total_reword:-50.848 loss:0.02260; actual_eps:0.98; ave_Q:-2.740694284439087
episode:25; total step:87; total_reword:-17.754 loss:0.02554; actual_eps:0.98; ave_Q:-6.763488292694092
episode:26; total step:86; total_reword:-14.268 loss:0.01970; actual_eps:0.98; ave_Q:-5.20942497253418
episode:27; total step:83; total_reword:-12.516 loss:0.02246; actual_eps:0.98; ave_Q:-6.483530044555664
episode:28; total step:83; total_reword:-12.377 loss:0.02324; actual_eps:0.98; ave_Q:-6.130128383636475
episode:29; total step:88; total_reword:-11.875 loss:0.02901; actual_eps:0.98; ave_Q:-5.401797771453857
episode:30; total step:250; total_reword:-73.115 loss:0.02448; actual_eps:0.98; ave_Q:-5.387519836425781
episode:31; total step:250; total_reword:-45.559 loss:0.02277; actual_eps:0.98; ave_Q:-10.313385009765625
episode:32; total step:250; total_reword:-64.804 loss:0.02064; actual_eps:0.98; ave_Q:-11.036123275756836
episode:33; total step:250; total_reword:-49.909 loss:0.02614; actual_eps:0.98; ave_Q:-11.972907066345215
episode:34; total step:250; total_reword:-38.586 loss:0.02334; actual_eps:0.98; ave_Q:-10.907934188842773
episode:35; total step:86; total_reword:-14.445 loss:0.02439; actual_eps:0.98; ave_Q:-6.404481410980225
episode:36; total step:83; total_reword:-15.440 loss:0.02380; actual_eps:0.98; ave_Q:-8.00330638885498
episode:37; total step:85; total_reword:-16.193 loss:0.02436; actual_eps:0.98; ave_Q:-6.785516738891602
episode:38; total step:92; total_reword:-12.582 loss:0.02396; actual_eps:0.98; ave_Q:-3.8818225860595703
episode:39; total step:250; total_reword:-41.093 loss:0.02258; actual_eps:0.98; ave_Q:-10.840044975280762
episode:40; total step:99; total_reword:-14.850 loss:0.02645; actual_eps:0.98; ave_Q:-1.4168397188186646
episode:41; total step:250; total_reword:-54.671 loss:0.02194; actual_eps:0.98; ave_Q:-13.585854530334473
episode:42; total step:89; total_reword:-15.583 loss:0.03105; actual_eps:0.98; ave_Q:-5.4003376960754395
episode:43; total step:232; total_reword:-50.594 loss:0.02620; actual_eps:0.98; ave_Q:-4.055934429168701
episode:44; total step:88; total_reword:-15.909 loss:0.02953; actual_eps:0.98; ave_Q:-6.058763027191162
episode:45; total step:92; total_reword:-12.519 loss:0.02210; actual_eps:0.98; ave_Q:-3.3553109169006348
episode:46; total step:87; total_reword:-17.737 loss:0.02184; actual_eps:0.98; ave_Q:-7.129452228546143
episode:47; total step:84; total_reword:-15.509 loss:0.02520; actual_eps:0.98; ave_Q:-7.3834452629089355
episode:48; total step:85; total_reword:-12.619 loss:0.03268; actual_eps:0.98; ave_Q:-5.533202171325684
episode:49; total step:87; total_reword:-10.286 loss:0.02433; actual_eps:0.98; ave_Q:-4.405374050140381
episode:50; total step:85; total_reword:-10.745 loss:0.03075; actual_eps:0.98; ave_Q:-4.975103378295898
episode:51; total step:91; total_reword:-13.589 loss:0.02126; actual_eps:0.98; ave_Q:-3.8513264656066895
episode:52; total step:88; total_reword:-12.616 loss:0.03006; actual_eps:0.98; ave_Q:-4.268255710601807
episode:53; total step:87; total_reword:-21.000 loss:0.02218; actual_eps:0.98; ave_Q:-7.873815059661865
episode:54; total step:250; total_reword:-37.878 loss:0.02580; actual_eps:0.97; ave_Q:-11.140480041503906
episode:55; total step:98; total_reword:-15.153 loss:0.02677; actual_eps:0.97; ave_Q:-2.648871660232544
episode:56; total step:84; total_reword:-9.718 loss:0.01992; actual_eps:0.97; ave_Q:-4.977564811706543
episode:57; total step:250; total_reword:-36.741 loss:0.02519; actual_eps:0.97; ave_Q:-12.140987396240234
episode:58; total step:88; total_reword:-10.871 loss:0.02667; actual_eps:0.97; ave_Q:-4.165079116821289
episode:59; total step:89; total_reword:-16.483 loss:0.02536; actual_eps:0.97; ave_Q:-6.041867256164551
episode:60; total step:89; total_reword:-13.616 loss:0.02923; actual_eps:0.97; ave_Q:-4.751683235168457
episode:61; total step:93; total_reword:-12.123 loss:0.03139; actual_eps:0.97; ave_Q:-3.163923740386963
